Sr.No|Round|Institute|PG Program|Group|Category|Max GATE Score|Min GATE Score
1|Round 1|National Institute of Technology Raipur|VLSI & Embedded Systems|G1|OPEN|565|464
2|Round 1|National Institute of Technology Raipur|VLSI & Embedded Systems|G2|SC|320|320
3|Round 1|National Institute of Technology Sikkim|M.Tech in VLSI and Embedded Systems|G1|OPEN|429|420
4|Round 1|National Institute of Technology Sikkim|M.Tech in Communication and Signal Processing|G1|OBC-NCL|368|365
5|Round 1|National Institute of Technology, Jamshedpur|Communication Systems Engineering|G1|ST|251|251
6|Round 1|National Institute of Technology, Jamshedpur|Geotechnical Engineering|G1|EWS|324|324
7|Round 1|National Institute of Technology, Jamshedpur|Computer Science & Engineering|G1|EWS|556|547
8|Round 1|National Institute of Technology, Kurukshetra|Geotechnical Engineering|G1|ST|277|277
9|Round 1|National Institute of Technology, Kurukshetra|Machine Design|G1|SC|310|310
10|Round 1|National Institute of Technology, Kurukshetra|Transportation Engineering|G1|OPEN|454|397
11|Round 1|National Institute of Technology, Manipur|Communication & Signal Processing|G1|OPEN|360|350
12|Round 1|National Institute of Technology, Manipur|VLSI Design & Embedded Systems|G1|OPEN|393|360
13|Round 1|National Institute of Technology Mizoram|Microelectronics and VLSI System Design|G1|OBC-NCL|358|355
14|Round 1|National Institute of Technology, Rourkela|RF and Microwave systems|G2|OBC-NCL|464|464
15|Round 1|National Institute of Technology, Rourkela|Industrial Refrigeration and Cryogenic Engineering|G3|OBC-NCL|347|343
16|Round 1|National Institute of Technology, Rourkela|Mechanical Systems Design and Control|G2|OPEN|571|571
17|Round 1|National Institute of Technology, Rourkela|Mechanical Systems Design and Control|G3|SC|371|351
18|Round 1|National Institute of Technology, Rourkela|Biotechnology|G1|EWS|401|395
19|Round 1|National Institute of Technology, Rourkela|Chemical Engineering|G3|OPEN|426|426
20|Round 1|National Institute of Technology, Rourkela|Chemical Engineering|G4|SC|238|238
21|Round 1|National Institute of Technology, Rourkela|Communication & Networks|G1|ST|362|313
22|Round 1|National Institute of Technology, Rourkela|Energy and Environmental Engineering|G1|EWS|355|355
23|Round 1|Sardar Vallabhbhai National Institute of Technology, Surat|Structural Engineering|G1|EWS|462|455
24|Round 1|Sardar Vallabhbhai National Institute of Technology, Surat|Thermal Systems Design|G1|SC|281|269
25|Round 1|Sardar Vallabhbhai National Institute of Technology, Surat|Power System|G1|ST|310|310
26|Round 1|Sardar Vallabhbhai National Institute of Technology, Surat|Transportation Engineering & Planning|G1|EWS|382|344
27|Round 1|Sardar Vallabhbhai National Institute of Technology, Surat|Urban Planning|G1|OBC-NCL|383|344
28|Round 1|Sardar Vallabhbhai National Institute of Technology, Surat|Urban Planning|G1|EWS|371|371
29|Round 1|Visvesvaraya National Institute of Technology, Nagpur|Communication System Engineering|G1|OBC-NCL|410|385
30|Round 1|Visvesvaraya National Institute of Technology, Nagpur|Production & Industrial Engineering|G1|OPEN|412|351
31|Round 1|Visvesvaraya National Institute of Technology, Nagpur|Integrated Power Systems|G1|ST|279|253
32|Round 1|Visvesvaraya National Institute of Technology, Nagpur|Structural Engineering|G1|OPEN|524|480
33|Round 1|Visvesvaraya National Institute of Technology, Nagpur|Structural Engineering|G1|OPEN-PwD|277|277
34|Round 1|Visvesvaraya National Institute of Technology, Nagpur|Transportation Engineering|G1|ST|271|271
35|Round 1|Visvesvaraya National Institute of Technology, Nagpur|Urban Planning|G2|OBC-NCL|353|329
36|Round 1|Visvesvaraya National Institute of Technology, Nagpur|Water Resource Engineering|G1|OBC-NCL|351|344
37|Round 1|Indian Institute of Engineering Science and Technology, Shibpur, District Howrah|Power Electronics, Machines and Drives|G1|OBC-NCL|367|354
38|Round 1|Atal Bihari Vajpayee Indian Institute of Information Technology & Management Gwalior|IC Design and Technology|G1|OPEN|496|452
39|Round 1|Atal Bihari Vajpayee Indian Institute of Information Technology & Management Gwalior|Information and Cyber Security|G1|EWS|523|523
40|Round 1|Indian Institute of Information Technology, Allahabad|M.Tech. ECE with specialization in Microelectronics|G1|EWS|469|464
41|Round 1|Indian Institute of Information Technology, Design & Manufacturing Kancheepuram, Chennai|Computer Science and Engineering with Specialization in Data Science and Artificial Intelligence|G1|OBC-NCL|528|458
42|Round 1|Pt. Dwarka Prasad Mishra Indian Institute of Information Technology, Design & Manufacturing Jabalpur|Power & Control|G1|OPEN|365|358
43|Round 1|Pt. Dwarka Prasad Mishra Indian Institute of Information Technology, Design & Manufacturing Jabalpur|Data Science|G1|OPEN|537|514
44|Round 1|Indian Institute of Information Technology, Design and Manufacturing, Kurnool|VLSI & Embedded Systems|G1|OBC-NCL|385|355
45|Round 1|Indian Institute of Information Technology, Design and Manufacturing, Kurnool|Computer Science & Engineering|G1|OBC-NCL|448|434
46|Round 1|Indian Institute of Information Technology, Bhopal|M.Tech in Cyber Physical System|G1|OBC-NCL|411|382
47|Round 1|Indian Institute of Information Technology, Bhopal|M.Tech in Cyber Physical System|G1|SC|305|291
48|Round 1|Sant Longowal Institute of Engineering and Technology|Food Engineering & Technology|G1|ST|243|243
49|Round 1|Sant Longowal Institute of Engineering and Technology|Computer Science & Engineering|G1|OBC-NCL|364|349
50|Round 1|School of Planning and Architecture, Bhopal|M.Arch. (Urban Design)|G1|OBC-NCL|454|400
51|Round 1|School of Planning and Architecture, Bhopal|M.Arch. (Urban Design)|G1|EWS|450|365
52|Round 1|School of Planning & Architecture: Vijayawada|Master of Planning (Urban and Regional Planning)|G1|ST|338|338
53|Round 1|International Institute of Information Technology, Naya Raipur|Computer Science & Engineering|G1|SC|360|360
54|Round 1|Punjab Engineering College, Chandigarh|Aerospace Engineering|G1|ST|258|258
55|Round 1|Punjab Engineering College, Chandigarh|Healthcare Informatics|G1|OPEN|474|379
56|Round 1|International Institute of Information Technology, Bhubaneswar|Computer Science & Engineering|G1|OBC-NCL|496|440
57|Round 1|Defence Institute of Advanced Technology (Deemed to be University), Girinagar, Pune|Laser and Electro Optics|G1|OBC-NCL|355|342
58|Round 1|Defence Institute of Advanced Technology (Deemed to be University), Girinagar, Pune|Aerospace Engineering (UAVs)|G1|EWS|404|404
59|Round 1|Defence Institute of Advanced Technology (Deemed to be University), Girinagar, Pune|Quantum Computing|G1|SC|311|288
60|Round 1|Defence Institute of Advanced Technology (Deemed to be University), Girinagar, Pune|Electronics and Communication  Engineering (Signal Processing and communication)|G1|OBC-NCL|355|354
61|Round 1|Defence Institute of Advanced Technology (Deemed to be University), Girinagar, Pune|Electronics and Communication  Engineering (Signal Processing and communication)|G1|OPEN|446|401
62|Round 1|Defence Institute of Advanced Technology (Deemed to be University), Girinagar, Pune|Electronics and Communication  Engineering (VLSI and Embedded System)|G1|ST|236|231
63|Round 1|National Institute of Technology, Warangal|Materials Technology|G1|OPEN|408|376
64|Round 1|National Institute of Technology, Warangal|Water Resources Engineering|G1|EWS|396|385
65|Round 1|Sardar Vallabhbhai National Institute of Technology, Surat|Geotechnical Engineering|G1|OBC-NCL|362|352
66|Round 1|Sardar Vallabhbhai National Institute of Technology, Surat|Communication System|G1|EWS|400|400
67|Round 1|Sardar Vallabhbhai National Institute of Technology, Surat|Transportation Engineering & Planning|G1|OBC-NCL|388|363
68|Round 1|Sardar Vallabhbhai National Institute of Technology, Surat|Water Resource Engineering|G1|OBC-NCL|347|337
69|Round 1|Visvesvaraya National Institute of Technology, Nagpur|Communication System Engineering|G1|SC|315|308
70|Round 1|Visvesvaraya National Institute of Technology, Nagpur|Environmental Engineering|G1|SC|300|293
71|Round 1|Visvesvaraya National Institute of Technology, Nagpur|Environmental Engineering|G1|ST|270|270
72|Round 1|Visvesvaraya National Institute of Technology, Nagpur|Heat Power Engineering|G1|OBC-NCL|347|322
73|Round 1|Visvesvaraya National Institute of Technology, Nagpur|Production & Industrial Engineering|G1|ST|236|236
74|Round 1|Visvesvaraya National Institute of Technology, Nagpur|Power Electronics & Drives|G1|OPEN|468|398
75|Round 1|Visvesvaraya National Institute of Technology, Nagpur|Urban Planning|G1|OPEN|602|501
76|Round 1|Indian Institute of Engineering Science and Technology, Shibpur, District Howrah|Geotechnical Engineering|G1|ST|271|271
77|Round 1|Indian Institute of Engineering Science and Technology, Shibpur, District Howrah|Mechatronics|G1|OPEN|410|370
78|Round 1|Indian Institute of Engineering Science and Technology, Shibpur, District Howrah|Manufacturing Technology|G1|OBC-NCL|328|328
79|Round 1|Indian Institute of Engineering Science and Technology, Shibpur, District Howrah|Materials Engineering|G1|SC|253|246
80|Round 1|Indian Institute of Engineering Science and Technology, Shibpur, District Howrah|Renewable Energy Science and Technology|G1|OBC-NCL|349|292
81|Round 1|Indian Institute of Engineering Science and Technology, Shibpur, District Howrah|Structural Engineering|G1|EWS|370|355
82|Round 1|Indian Institute of Engineering Science and Technology, Shibpur, District Howrah|Transportation Engineering|G1|OPEN|436|392
83|Round 1|Indian Institute of Engineering Science and Technology, Shibpur, District Howrah|VLSI Design|G1|SC|353|310
84|Round 1|Indian Institute of Engineering Science and Technology, Shibpur, District Howrah|VLSI Design|G1|ST|246|246
85|Round 1|Atal Bihari Vajpayee Indian Institute of Information Technology & Management Gwalior|Information and Cyber Security|G1|OBC-NCL|527|501
86|Round 1|Indian Institute of Information Technology, Allahabad|M.Tech. ECE with specialization in Microelectronics|G1|SC|360|330
